nickname,user_type,estimated_followers,post_count,avg_liked,avg_collected,avg_comment,avg_total_engagement,avg_engagement_rate,koc_score,max_total_engagement
健身达人1,KOC,330,1,1044.0,320.0,125.0,1565.0,9484.848484848484,82.0,1565
健身达人10,Nano KOL,8337,1,446.0,181.0,26.0,666.0,159.76970133141418,64.64,666
健身达人11,Micro KOL,103960,1,1610.0,508.0,241.0,2468.0,47.47979992304733,72.0,2468
健身达人12,Micro KOL,117192,1,1761.0,708.0,124.0,2706.0,46.1806266639361,72.0,2706
健身达人13,KOC,301,1,1604.0,797.0,231.0,2671.0,17747.50830564784,82.0,2671
健身达人14,Micro KOL,16572,1,1181.0,763.0,103.0,2099.0,253.3188510741009,75.3428,2099
健身达人15,KOC,1906,1,229.0,137.0,12.0,388.0,407.1353620146904,55.519999999999996,388
健身达人16,KOC,449,1,572.0,336.0,29.0,976.0,4347.4387527839635,81.03999999999999,976
健身达人17,KOC,621,1,176.0,89.0,18.0,288.0,927.536231884058,53.519999999999996,288
健身达人18,KOC,676,1,759.0,558.0,104.0,1454.0,4301.775147928994,82.0,1454
健身达人19,KOC,584,1,1729.0,807.0,234.0,2874.0,9842.465753424656,82.0,2874
健身达人2,Micro KOL,36517,1,975.0,300.0,146.0,1470.0,80.51044718898048,73.3483,1470
健身达人20,Micro KOL,28328,1,1147.0,403.0,225.0,1798.0,126.94154193730584,74.1672,1798
健身达人21,Micro KOL,51396,1,1784.0,938.0,196.0,3087.0,120.12607985057203,72.0,3087
健身达人22,Micro KOL,59470,1,1253.0,624.0,95.0,2071.0,69.6485623003195,72.0,2071
健身达人23,Micro KOL,20685,1,767.0,274.0,96.0,1199.0,115.92941745226008,74.9315,1199
健身达人24,Micro KOL,11479,1,602.0,280.0,78.0,1013.0,176.4962104712954,75.85210000000001,1013
健身达人25,Micro KOL,105287,1,1619.0,635.0,152.0,2566.0,48.7429597196235,72.0,2566
健身达人26,Nano KOL,9608,1,401.0,160.0,49.0,629.0,130.932556203164,63.16,629
健身达人27,Micro KOL,15204,1,913.0,332.0,150.0,1454.0,191.26545645882663,75.4796,1454
健身达人28,Micro KOL,17627,1,640.0,313.0,60.0,1064.0,120.72388948771771,75.2373,1064
健身达人29,Micro KOL,25404,1,1771.0,987.0,199.0,3068.0,241.5367658636435,74.4596,3068
