title,nickname,content_type,liked_count,collected_count,comment_count,share_count,total_engagement,engagement_rate,collect_rate,comment_rate,publish_datetime,publish_date,publish_hour,days_since_publish
普拉提VS健身 俩硬汉的普拉提初体验,麋鹿妹妹妹,亲身体验,124.0,16,27,259.0,426.0,6.62,3.76,6.34,2025-06-12 15:29:04,2025-06-12,15,0
普拉提和瑜伽的6️⃣大区别,小玲,对比测评,647.0,539,6,352.0,1544.0,5.78,34.91,0.39,2024-08-21 08:35:17,2024-08-21,8,295
💥C罗也练普拉提？,功能性普拉提林老师,打卡分享,826.0,521,17,1374.0,2738.0,5.3,19.03,0.62,2024-07-09 10:02:10,2024-07-09,10,338
你以为的普拉提vs现实中的普拉提,梅 梅,对比测评,19.0,3,0,23.0,45.0,5.2,6.67,0.0,2024-11-19 03:36:46,2024-11-19,3,205
5分钟体态调整｜男生挑战普拉提,林芊羽Nicky,打卡分享,297.0,87,42,101.0,527.0,4.62,16.51,7.97,2024-07-10 14:33:11,2024-07-10,14,337
普拉提器械🆚瑜伽的区别,Pilates Agang,对比测评,1997.0,696,5,680.0,3378.0,4.6,20.6,0.15,2024-10-12 17:04:55,2024-10-12,17,242
普拉提到底有什么用 有没有能有人现身说法,PPPP......,打卡分享,404.0,152,444,77.0,1077.0,4.58,14.11,41.23,2025-02-08 23:19:24,2025-02-08,23,123
nba 球星通过普拉提提升运动表现、预防运动,一斤干货,知识科普,65.0,15,0,48.0,128.0,4.33,11.72,0.0,2024-09-19 03:46:02,2024-09-19,3,266
现在怎么好多男的也练普拉提了？,北美二三事儿,教程指导,25.0,9,34,13.0,81.0,4.24,11.11,41.98,2024-12-21 17:41:59,2024-12-21,17,172
nba 球星通过普拉提提升运动表现、预防运动,一斤干货,知识科普,65.0,15,0,48.0,128.0,4.19,11.72,0.0,2024-09-19 03:46:02,2024-09-19,3,266
💥C罗也练普拉提？,功能性普拉提林老师,打卡分享,826.0,521,17,1374.0,2738.0,4.11,19.03,0.62,2024-07-09 10:02:10,2024-07-09,10,338
普拉提到底在练什么？(真诚分享),倪双,教程指导,542.0,384,38,225.0,1189.0,4.05,32.3,3.2,2023-01-28 14:05:28,2023-01-28,14,866
普拉提与其他运动的区别。,皓东潜制序体态控制学,教程指导,254.0,193,31,59.0,537.0,3.99,35.94,5.77,2025-05-13 11:16:32,2025-05-13,11,30
为什么越来越多男运动员选择普拉提？,kxpilates,亲身体验,402.0,232,6,418.0,1058.0,3.97,21.93,0.57,2024-06-13 10:25:52,2024-06-13,10,364
🇰🇷VLOG｜男大的普拉提初体验🧘🏻‍♂️,Hans-HanLin,亲身体验,244.0,17,14,12.0,287.0,3.96,5.92,4.88,2024-08-26 04:37:30,2024-08-26,4,290
一节舒展拉伸普拉提团课全记录,DAC. Alan,打卡分享,29.0,29,1,26.0,85.0,3.85,34.12,1.18,2025-02-25 15:37:48,2025-02-25,15,106
普拉提并不适合正常人练习（直怼版）,肖杨的运动康复日记,知识科普,1191.0,468,948,684.0,3291.0,3.74,14.22,28.81,2025-05-19 23:57:40,2025-05-19,23,23
每天20分钟跟普拉提大师JohnGarey学普拉提,普拉提视频搬运工,亲身体验,403.0,456,9,108.0,976.0,3.66,46.72,0.92,2025-02-26 14:10:43,2025-02-26,14,106
普拉提并不适合正常人练习（直怼版）,肖杨的运动康复日记,知识科普,1191.0,468,948,684.0,3291.0,3.57,14.22,28.81,2025-05-19 23:57:40,2025-05-19,23,23
普拉提与其他运动的区别。,皓东潜制序体态控制学,教程指导,254.0,193,31,59.0,537.0,3.54,35.94,5.77,2025-05-13 11:16:32,2025-05-13,11,30
当老公第一次上普拉提……,娜娜威,亲身体验,0.0,745,1542,0.0,2287.0,3.53,32.58,67.42,2025-06-04 10:45:21,2025-06-04,10,8
普拉提器械🆚瑜伽的区别,Pilates Agang,对比测评,1997.0,696,5,680.0,3378.0,3.37,20.6,0.15,2024-10-12 17:04:55,2024-10-12,17,242
当老公第一次上普拉提……,娜娜威,亲身体验,0.0,745,1542,0.0,2287.0,3.32,32.58,67.42,2025-06-04 10:45:21,2025-06-04,10,8
每天20分钟跟普拉提大师JohnGarey学普拉提,普拉提视频搬运工,亲身体验,403.0,456,9,108.0,976.0,3.04,46.72,0.92,2025-02-26 14:10:43,2025-02-26,14,106
偷偷练好这三个动作，让你的体态鹤立鸡群!,北体有大招,其他,100.0,65,27,11.0,203.0,3.02,32.02,13.3,2024-10-05 03:48:40,2024-10-05,3,250
像不像你做瑜伽普拉提的样子💕hellokitty,可爱个铲铲儿,打卡分享,1215.0,483,21,517.0,2236.0,2.97,21.6,0.94,2025-02-25 07:33:30,2025-02-25,7,107
普拉提小班课,玉儿老师,亲身体验,37.0,18,3,73.0,131.0,2.88,13.74,2.29,2024-07-04 11:25:12,2024-07-04,11,343
