title,nickname,content_type,liked_count,collected_count,comment_count,share_count,total_engagement,engagement_rate,collect_rate,comment_rate,publish_datetime,publish_date,publish_hour,days_since_publish
普拉提VS健身 俩硬汉的普拉提初体验,麋鹿妹妹妹,亲身体验,124.0,16,27,259.0,426.0,6.62,3.76,6.34,2025-06-12 15:29:04,2025-06-12,15,0
普拉提和瑜伽的6️⃣大区别,小玲,对比测评,647.0,539,6,352.0,1544.0,5.78,34.91,0.39,2024-08-21 08:35:17,2024-08-21,8,295
💥C罗也练普拉提？,功能性普拉提林老师,打卡分享,826.0,521,17,1374.0,2738.0,5.3,19.03,0.62,2024-07-09 10:02:10,2024-07-09,10,338
你以为的普拉提vs现实中的普拉提,梅 梅,对比测评,19.0,3,0,23.0,45.0,5.2,6.67,0.0,2024-11-19 03:36:46,2024-11-19,3,205
5分钟体态调整｜男生挑战普拉提,林芊羽Nicky,打卡分享,297.0,87,42,101.0,527.0,4.62,16.51,7.97,2024-07-10 14:33:11,2024-07-10,14,337
普拉提器械🆚瑜伽的区别,Pilates Agang,对比测评,1997.0,696,5,680.0,3378.0,4.6,20.6,0.15,2024-10-12 17:04:55,2024-10-12,17,242
普拉提到底有什么用 有没有能有人现身说法,PPPP......,打卡分享,404.0,152,444,77.0,1077.0,4.58,14.11,41.23,2025-02-08 23:19:24,2025-02-08,23,123
nba 球星通过普拉提提升运动表现、预防运动,一斤干货,知识科普,65.0,15,0,48.0,128.0,4.33,11.72,0.0,2024-09-19 03:46:02,2024-09-19,3,266
现在怎么好多男的也练普拉提了？,北美二三事儿,教程指导,25.0,9,34,13.0,81.0,4.24,11.11,41.98,2024-12-21 17:41:59,2024-12-21,17,172
nba 球星通过普拉提提升运动表现、预防运动,一斤干货,知识科普,65.0,15,0,48.0,128.0,4.19,11.72,0.0,2024-09-19 03:46:02,2024-09-19,3,266
💥C罗也练普拉提？,功能性普拉提林老师,打卡分享,826.0,521,17,1374.0,2738.0,4.11,19.03,0.62,2024-07-09 10:02:10,2024-07-09,10,338
普拉提到底在练什么？(真诚分享),倪双,教程指导,542.0,384,38,225.0,1189.0,4.05,32.3,3.2,2023-01-28 14:05:28,2023-01-28,14,866
普拉提与其他运动的区别。,皓东潜制序体态控制学,教程指导,254.0,193,31,59.0,537.0,3.99,35.94,5.77,2025-05-13 11:16:32,2025-05-13,11,30
为什么越来越多男运动员选择普拉提？,kxpilates,亲身体验,402.0,232,6,418.0,1058.0,3.97,21.93,0.57,2024-06-13 10:25:52,2024-06-13,10,364
🇰🇷VLOG｜男大的普拉提初体验🧘🏻‍♂️,Hans-HanLin,亲身体验,244.0,17,14,12.0,287.0,3.96,5.92,4.88,2024-08-26 04:37:30,2024-08-26,4,290
