title,nickname,content_type,liked_count,collected_count,comment_count,share_count,total_engagement,engagement_rate,collect_rate,comment_rate,publish_datetime,publish_date,publish_hour,days_since_publish
普拉提器械🆚瑜伽的区别,Pilates Agang,对比测评,1997.0,696,5,680.0,3378.0,3.71,20.6,0.15,2024-10-12 17:04:55,2024-10-12,17,242
普拉提器械🆚瑜伽的区别,Pilates Agang,对比测评,1997.0,696,5,680.0,3378.0,5.15,20.6,0.15,2024-10-12 17:04:55,2024-10-12,17,242
普拉提并不适合正常人练习（直怼版）,肖杨的运动康复日记,知识科普,1191.0,468,948,684.0,3291.0,3.27,14.22,28.81,2025-05-19 23:57:40,2025-05-19,23,23
普拉提并不适合正常人练习（直怼版）,肖杨的运动康复日记,知识科普,1191.0,468,948,684.0,3291.0,4.27,14.22,28.81,2025-05-19 23:57:40,2025-05-19,23,23
💥C罗也练普拉提？,功能性普拉提林老师,打卡分享,826.0,521,17,1374.0,2738.0,3.45,19.03,0.62,2024-07-09 10:02:10,2024-07-09,10,338
💥C罗也练普拉提？,功能性普拉提林老师,打卡分享,826.0,521,17,1374.0,2738.0,3.97,19.03,0.62,2024-07-09 10:02:10,2024-07-09,10,338
当老公第一次上普拉提……,娜娜威,亲身体验,0.0,745,1542,0.0,2287.0,4.63,32.58,67.42,2025-06-04 10:45:21,2025-06-04,10,8
当老公第一次上普拉提……,娜娜威,亲身体验,0.0,745,1542,0.0,2287.0,5.38,32.58,67.42,2025-06-04 10:45:21,2025-06-04,10,8
像不像你做瑜伽普拉提的样子💕hellokitty,可爱个铲铲儿,打卡分享,1215.0,483,21,517.0,2236.0,3.77,21.6,0.94,2025-02-25 07:33:30,2025-02-25,7,107
普拉提和瑜伽的6️⃣大区别,小玲,对比测评,647.0,539,6,352.0,1544.0,4.27,34.91,0.39,2024-08-21 08:35:17,2024-08-21,8,295
普拉提到底在练什么？(真诚分享),倪双,教程指导,542.0,384,38,225.0,1189.0,2.97,32.3,3.2,2023-01-28 14:05:28,2023-01-28,14,866
普拉提到底有什么用 有没有能有人现身说法,PPPP......,打卡分享,404.0,152,444,77.0,1077.0,2.87,14.11,41.23,2025-02-08 23:19:24,2025-02-08,23,123
为什么越来越多男运动员选择普拉提？,kxpilates,亲身体验,402.0,232,6,418.0,1058.0,3.78,21.93,0.57,2024-06-13 10:25:52,2024-06-13,10,364
每天20分钟跟普拉提大师JohnGarey学普拉提,普拉提视频搬运工,亲身体验,403.0,456,9,108.0,976.0,4.87,46.72,0.92,2025-02-26 14:10:43,2025-02-26,14,106
每天20分钟跟普拉提大师JohnGarey学普拉提,普拉提视频搬运工,亲身体验,403.0,456,9,108.0,976.0,4.12,46.72,0.92,2025-02-26 14:10:43,2025-02-26,14,106
