nickname,user_type,estimated_followers,post_count,avg_liked,avg_collected,avg_comment,avg_total_engagement,avg_engagement_rate,koc_score,max_total_engagement
健身达人1,KOC,330,1,1044.0,320.0,125.0,1565.0,9484.848484848484,82.0,1565
健身达人13,KOC,301,1,1604.0,797.0,231.0,2671.0,17747.50830564784,82.0,2671
健身达人18,KOC,676,1,759.0,558.0,104.0,1454.0,4301.775147928994,82.0,1454
普拉提达人17,KOC,297,1,879.0,694.0,76.0,1736.0,11690.235690235688,82.0,1736
健身达人19,KOC,584,1,1729.0,807.0,234.0,2874.0,9842.465753424656,82.0,2874
健身达人6,KOC,725,1,1869.0,852.0,322.0,3208.0,8849.655172413793,82.0,3208
普拉提达人13,KOC,340,1,612.0,263.0,117.0,1023.0,6017.64705882353,82.0,1023
普拉提达人26,KOC,665,1,733.0,511.0,82.0,1376.0,4138.345864661654,82.0,1376
普拉提达人16,KOC,383,1,1411.0,1112.0,93.0,2671.0,13947.780678851173,82.0,2671
普拉提达人30,KOC,901,1,1449.0,533.0,272.0,2356.0,5229.744728079911,82.0,2356
普拉提达人28,KOC,897,1,784.0,342.0,77.0,1242.0,2769.230769230769,82.0,1242
瑜伽达人6,KOC,779,1,1814.0,700.0,179.0,2843.0,7299.101412066751,82.0,2843
瑜伽达人7,KOC,898,1,1015.0,735.0,76.0,1880.0,4187.082405345211,82.0,1880
普拉提达人6,KOC,123,1,1345.0,523.0,220.0,2172.0,35317.0731707317,82.0,2172
瑜伽达人1,KOC,298,1,1897.0,875.0,196.0,3010.0,20201.342281879195,82.0,3010
瑜伽达人17,KOC,912,1,1382.0,457.0,84.0,2011.0,4410.087719298245,82.0,2011
瑜伽达人11,KOC,464,1,788.0,272.0,57.0,1170.0,5043.103448275861,82.0,1170
瑜伽达人29,KOC,368,1,781.0,547.0,136.0,1509.0,8201.086956521738,82.0,1509
瑜伽达人28,KOC,575,1,1423.0,441.0,248.0,2245.0,7808.695652173912,82.0,2245
瑜伽达人8,KOC,535,1,740.0,429.0,139.0,1344.0,5024.2990654205605,82.0,1344
瑜伽达人9,KOC,575,1,1124.0,859.0,98.0,2159.0,7509.565217391304,82.0,2159
瑜伽达人3,KOC,461,1,1119.0,417.0,100.0,1692.0,7340.563991323211,82.0,1692
瑜伽达人4,KOC,144,1,1355.0,807.0,135.0,2345.0,32569.444444444445,82.0,2345
健身达人16,KOC,449,1,572.0,336.0,29.0,976.0,4347.4387527839635,81.03999999999999,976
普拉提达人4,KOC,831,1,537.0,186.0,94.0,857.0,2062.575210589651,76.28,857
健身达人17,KOC,621,1,176.0,89.0,18.0,288.0,927.536231884058,53.519999999999996,288
普拉提达人7,KOC,571,1,126.0,87.0,7.0,223.0,781.0858143607705,50.92,223
